id;name;type;code;value;parent_id;jhi_desc;extend_1;extend_2;extend_3
1;extensible Palau bluetooth;engage primary;Internal Architect;Health even-keeled;51563;Consultant EXE;Public-key HTTP Estonia;compressing Response;tangible interface override
2;Buckinghamshire;Optimization Tasty;Personal Loan Account target Practical Steel Mouse;programming;5223;Pizza;Kids Fresh;syndicate;Soft hacking
3;motivating hard drive platforms;executive;withdrawal;Equatorial Guinea Home Loan Account;20387;multi-state virtual Branch;programming Rand Loti synthesizing;back up;recontextualize access
4;India Gibraltar deposit;Rial Omani circuit;Wisconsin Gloves Legacy;invoice complexity;99775;Investor;Colombian Peso Unidad de Valor Real;Dam extend;teal
5;bandwidth Cheese;Kids Avon;infomediaries Small;out-of-the-box;32943;monetize;monitor Wooden;Loaf Colorado;online Savings Account
6;Swedish Krona Soap;circuit Nepal envisioneer;interactive TCP Auto Loan Account;silver Mali;40318;Soft Games;Refined Steel Shirt;transmitting Unbranded Steel Ball Fresh;input interface
7;withdrawal;Mouse Unbranded Cotton Chicken Networked;Generic Plastic Bacon Polarised networks;applications e-services;73107;Tunnel Implementation;Soft Sleek;Gorgeous Plastic Shoes metrics;Nakfa Greens Sleek
8;pricing structure Credit Card Account FTP;Soap web-enabled;Greens;Divide;86874;Licensed Frozen Pizza Shoes Pine;Fantastic;ROI;Front-line flexibility
9;iterate Virginia instruction set;capacitor Ways;European Unit of Account 9(E.U.A.-9) Towels Ukraine;haptic;28772;whiteboard;Cambridgeshire;auxiliary;Usability
10;invoice Towels;service-desk copy;interfaces Generic Implementation;HTTP;75033;Barbados Dollar repurpose;Fresh exploit International;hacking fuchsia streamline;Turkey Hong Kong Dollar
